,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,27,inh,100,61,127,inh_27.wav
1,1,5,harm,0,61,5,harm_5.wav
2,2,26,harm,0,61,26,harm_26.wav
3,3,1,inh,100,61,101,inh_1.wav
4,4,28,inh,100,61,128,inh_28.wav
5,5,8,harm,0,61,8,harm_8.wav
6,6,13,harm,0,61,13,harm_13.wav
7,7,14,harm,0,61,14,harm_14.wav
8,8,24,inh,100,61,124,inh_24.wav
9,9,23,harm,0,61,23,harm_23.wav
10,10,20,inh,100,61,120,inh_20.wav
11,11,18,harm,0,61,18,harm_18.wav
12,12,15,inh,100,61,115,inh_15.wav
13,13,22,inh,100,61,122,inh_22.wav
14,14,30,inh,100,61,130,inh_30.wav
15,15,29,harm,0,61,29,harm_29.wav
16,16,19,harm,0,61,19,harm_19.wav
17,17,4,harm,0,61,4,harm_4.wav
18,18,17,inh,100,61,117,inh_17.wav
19,19,12,harm,0,61,12,harm_12.wav
20,20,3,harm,0,61,3,harm_3.wav
21,21,11,inh,100,61,111,inh_11.wav
22,22,25,harm,0,61,25,harm_25.wav
23,23,9,inh,100,61,109,inh_9.wav
24,24,6,inh,100,61,106,inh_6.wav
25,25,7,harm,0,61,7,harm_7.wav
26,26,10,inh,100,61,110,inh_10.wav
27,27,2,inh,100,61,102,inh_2.wav
28,28,21,inh,100,61,121,inh_21.wav
29,29,16,harm,0,61,16,harm_16.wav
