,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,26,inh,100,48,126,inh_26.wav
1,23,harm,0,48,23,harm_23.wav
2,27,inh,100,48,127,inh_27.wav
3,4,harm,0,48,4,harm_4.wav
4,1,inh,100,48,101,inh_1.wav
5,2,inh,100,48,102,inh_2.wav
6,22,harm,0,48,22,harm_22.wav
7,8,inh,100,48,108,inh_8.wav
8,7,harm,0,48,7,harm_7.wav
9,20,harm,0,48,20,harm_20.wav
10,15,inh,100,48,115,inh_15.wav
11,18,inh,100,48,118,inh_18.wav
12,3,harm,0,48,3,harm_3.wav
13,12,harm,0,48,12,harm_12.wav
14,17,inh,100,48,117,inh_17.wav
15,14,inh,100,48,114,inh_14.wav
16,6,inh,100,48,106,inh_6.wav
17,13,inh,100,48,113,inh_13.wav
18,10,harm,0,48,10,harm_10.wav
19,28,harm,0,48,28,harm_28.wav
20,16,inh,100,48,116,inh_16.wav
21,19,harm,0,48,19,harm_19.wav
22,9,harm,0,48,9,harm_9.wav
23,24,inh,100,48,124,inh_24.wav
24,29,harm,0,48,29,harm_29.wav
25,25,harm,0,48,25,harm_25.wav
26,11,harm,0,48,11,harm_11.wav
27,21,inh,100,48,121,inh_21.wav
28,30,harm,0,48,30,harm_30.wav
29,5,inh,100,48,105,inh_5.wav
