,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,1,harm,0,45,1,harm_1.wav
1,13,harm,0,45,13,harm_13.wav
2,8,inh,100,45,108,inh_8.wav
3,22,harm,0,45,22,harm_22.wav
4,12,harm,0,45,12,harm_12.wav
5,23,inh,100,45,123,inh_23.wav
6,18,harm,0,45,18,harm_18.wav
7,27,inh,100,45,127,inh_27.wav
8,19,inh,100,45,119,inh_19.wav
9,3,harm,0,45,3,harm_3.wav
10,21,inh,100,45,121,inh_21.wav
11,16,harm,0,45,16,harm_16.wav
12,5,harm,0,45,5,harm_5.wav
13,24,inh,100,45,124,inh_24.wav
14,14,inh,100,45,114,inh_14.wav
15,4,inh,100,45,104,inh_4.wav
16,17,inh,100,45,117,inh_17.wav
17,9,inh,100,45,109,inh_9.wav
18,10,inh,100,45,110,inh_10.wav
19,15,harm,0,45,15,harm_15.wav
20,25,inh,100,45,125,inh_25.wav
21,28,inh,100,45,128,inh_28.wav
22,29,harm,0,45,29,harm_29.wav
23,2,harm,0,45,2,harm_2.wav
24,7,harm,0,45,7,harm_7.wav
25,30,inh,100,45,130,inh_30.wav
26,20,harm,0,45,20,harm_20.wav
27,11,inh,100,45,111,inh_11.wav
28,26,harm,0,45,26,harm_26.wav
29,6,harm,0,45,6,harm_6.wav
