,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,27,harm,0,62,27,harm_27.wav
1,1,8,harm,0,62,8,harm_8.wav
2,2,2,inh,100,62,102,inh_2.wav
3,3,9,harm,0,62,9,harm_9.wav
4,4,10,inh,100,62,110,inh_10.wav
5,5,22,inh,100,62,122,inh_22.wav
6,6,3,harm,0,62,3,harm_3.wav
7,7,29,inh,100,62,129,inh_29.wav
8,8,24,inh,100,62,124,inh_24.wav
9,9,30,harm,0,62,30,harm_30.wav
10,10,13,harm,0,62,13,harm_13.wav
11,11,25,inh,100,62,125,inh_25.wav
12,12,23,inh,100,62,123,inh_23.wav
13,13,4,harm,0,62,4,harm_4.wav
14,14,28,harm,0,62,28,harm_28.wav
15,15,6,inh,100,62,106,inh_6.wav
16,16,26,harm,0,62,26,harm_26.wav
17,17,19,inh,100,62,119,inh_19.wav
18,18,15,harm,0,62,15,harm_15.wav
19,19,14,inh,100,62,114,inh_14.wav
20,20,5,inh,100,62,105,inh_5.wav
21,21,21,inh,100,62,121,inh_21.wav
22,22,18,harm,0,62,18,harm_18.wav
23,23,17,harm,0,62,17,harm_17.wav
24,24,16,inh,100,62,116,inh_16.wav
25,25,11,harm,0,62,11,harm_11.wav
26,26,12,harm,0,62,12,harm_12.wav
27,27,7,harm,0,62,7,harm_7.wav
28,28,20,inh,100,62,120,inh_20.wav
29,29,1,inh,100,62,101,inh_1.wav
