,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,5,inh,100,16,105,inh_5.wav
1,21,inh,100,16,121,inh_21.wav
2,30,harm,0,16,30,harm_30.wav
3,26,inh,100,16,126,inh_26.wav
4,18,inh,100,16,118,inh_18.wav
5,13,inh,100,16,113,inh_13.wav
6,25,inh,100,16,125,inh_25.wav
7,16,harm,0,16,16,harm_16.wav
8,2,inh,100,16,102,inh_2.wav
9,8,harm,0,16,8,harm_8.wav
10,7,harm,0,16,7,harm_7.wav
11,29,inh,100,16,129,inh_29.wav
12,12,harm,0,16,12,harm_12.wav
13,10,harm,0,16,10,harm_10.wav
14,23,harm,0,16,23,harm_23.wav
15,4,harm,0,16,4,harm_4.wav
16,17,inh,100,16,117,inh_17.wav
17,11,inh,100,16,111,inh_11.wav
18,22,harm,0,16,22,harm_22.wav
19,27,inh,100,16,127,inh_27.wav
20,14,harm,0,16,14,harm_14.wav
21,6,harm,0,16,6,harm_6.wav
22,3,harm,0,16,3,harm_3.wav
23,19,inh,100,16,119,inh_19.wav
24,20,harm,0,16,20,harm_20.wav
25,15,inh,100,16,115,inh_15.wav
26,24,harm,0,16,24,harm_24.wav
27,9,harm,0,16,9,harm_9.wav
28,1,inh,100,16,101,inh_1.wav
29,28,inh,100,16,128,inh_28.wav
