,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,14,inh,100,53,114,inh_14.wav
1,27,inh,100,53,127,inh_27.wav
2,18,harm,0,53,18,harm_18.wav
3,1,harm,0,53,1,harm_1.wav
4,29,inh,100,53,129,inh_29.wav
5,19,inh,100,53,119,inh_19.wav
6,23,inh,100,53,123,inh_23.wav
7,10,harm,0,53,10,harm_10.wav
8,16,inh,100,53,116,inh_16.wav
9,5,harm,0,53,5,harm_5.wav
10,15,inh,100,53,115,inh_15.wav
11,17,inh,100,53,117,inh_17.wav
12,20,harm,0,53,20,harm_20.wav
13,30,inh,100,53,130,inh_30.wav
14,4,harm,0,53,4,harm_4.wav
15,6,inh,100,53,106,inh_6.wav
16,28,inh,100,53,128,inh_28.wav
17,13,harm,0,53,13,harm_13.wav
18,22,harm,0,53,22,harm_22.wav
19,9,harm,0,53,9,harm_9.wav
20,26,harm,0,53,26,harm_26.wav
21,25,inh,100,53,125,inh_25.wav
22,24,inh,100,53,124,inh_24.wav
23,11,harm,0,53,11,harm_11.wav
24,21,harm,0,53,21,harm_21.wav
25,7,harm,0,53,7,harm_7.wav
26,3,harm,0,53,3,harm_3.wav
27,12,harm,0,53,12,harm_12.wav
28,2,inh,100,53,102,inh_2.wav
29,8,inh,100,53,108,inh_8.wav
