,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,20,harm,0,66,20,harm_20.wav
1,1,13,harm,0,66,13,harm_13.wav
2,2,22,inh,100,66,122,inh_22.wav
3,3,21,inh,100,66,121,inh_21.wav
4,4,15,harm,0,66,15,harm_15.wav
5,5,2,harm,0,66,2,harm_2.wav
6,6,25,harm,0,66,25,harm_25.wav
7,7,16,harm,0,66,16,harm_16.wav
8,8,19,inh,100,66,119,inh_19.wav
9,9,8,inh,100,66,108,inh_8.wav
10,10,9,harm,0,66,9,harm_9.wav
11,11,14,inh,100,66,114,inh_14.wav
12,12,1,inh,100,66,101,inh_1.wav
13,13,3,harm,0,66,3,harm_3.wav
14,14,26,inh,100,66,126,inh_26.wav
15,15,30,harm,0,66,30,harm_30.wav
16,16,6,inh,100,66,106,inh_6.wav
17,17,7,harm,0,66,7,harm_7.wav
18,18,11,harm,0,66,11,harm_11.wav
19,19,17,harm,0,66,17,harm_17.wav
20,20,5,inh,100,66,105,inh_5.wav
21,21,29,harm,0,66,29,harm_29.wav
22,22,23,inh,100,66,123,inh_23.wav
23,23,12,inh,100,66,112,inh_12.wav
24,24,27,inh,100,66,127,inh_27.wav
25,25,10,inh,100,66,110,inh_10.wav
26,26,28,harm,0,66,28,harm_28.wav
27,27,24,inh,100,66,124,inh_24.wav
28,28,18,inh,100,66,118,inh_18.wav
29,29,4,harm,0,66,4,harm_4.wav
