,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,15,inh,100,1,115,inh_15.wav
1,11,inh,100,1,111,inh_11.wav
2,19,harm,0,1,19,harm_19.wav
3,2,inh,100,1,102,inh_2.wav
4,26,inh,100,1,126,inh_26.wav
5,8,harm,0,1,8,harm_8.wav
6,4,inh,100,1,104,inh_4.wav
7,1,harm,0,1,1,harm_1.wav
8,3,harm,0,1,3,harm_3.wav
9,13,harm,0,1,13,harm_13.wav
10,20,harm,0,1,20,harm_20.wav
11,30,inh,100,1,130,inh_30.wav
12,18,harm,0,1,18,harm_18.wav
13,25,inh,100,1,125,inh_25.wav
14,14,harm,0,1,14,harm_14.wav
15,24,inh,100,1,124,inh_24.wav
16,17,harm,0,1,17,harm_17.wav
17,5,inh,100,1,105,inh_5.wav
18,29,inh,100,1,129,inh_29.wav
19,7,harm,0,1,7,harm_7.wav
20,22,inh,100,1,122,inh_22.wav
21,12,harm,0,1,12,harm_12.wav
22,10,harm,0,1,10,harm_10.wav
23,28,inh,100,1,128,inh_28.wav
24,6,harm,0,1,6,harm_6.wav
25,23,harm,0,1,23,harm_23.wav
26,27,inh,100,1,127,inh_27.wav
27,21,inh,100,1,121,inh_21.wav
28,9,inh,100,1,109,inh_9.wav
29,16,harm,0,1,16,harm_16.wav
