,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,8,harm,0,65,8,harm_8.wav
1,1,2,harm,0,65,2,harm_2.wav
2,2,17,harm,0,65,17,harm_17.wav
3,3,4,harm,0,65,4,harm_4.wav
4,4,25,inh,100,65,125,inh_25.wav
5,5,10,harm,0,65,10,harm_10.wav
6,6,22,inh,100,65,122,inh_22.wav
7,7,28,harm,0,65,28,harm_28.wav
8,8,19,inh,100,65,119,inh_19.wav
9,9,21,harm,0,65,21,harm_21.wav
10,10,13,harm,0,65,13,harm_13.wav
11,11,7,harm,0,65,7,harm_7.wav
12,12,18,inh,100,65,118,inh_18.wav
13,13,14,harm,0,65,14,harm_14.wav
14,14,9,inh,100,65,109,inh_9.wav
15,15,11,inh,100,65,111,inh_11.wav
16,16,23,harm,0,65,23,harm_23.wav
17,17,15,harm,0,65,15,harm_15.wav
18,18,3,harm,0,65,3,harm_3.wav
19,19,16,inh,100,65,116,inh_16.wav
20,20,26,inh,100,65,126,inh_26.wav
21,21,12,inh,100,65,112,inh_12.wav
22,22,30,inh,100,65,130,inh_30.wav
23,23,29,inh,100,65,129,inh_29.wav
24,24,1,harm,0,65,1,harm_1.wav
25,25,24,inh,100,65,124,inh_24.wav
26,26,20,harm,0,65,20,harm_20.wav
27,27,5,inh,100,65,105,inh_5.wav
28,28,27,inh,100,65,127,inh_27.wav
29,29,6,inh,100,65,106,inh_6.wav
