,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,17,harm,0,58,17,harm_17.wav
1,6,harm,0,58,6,harm_6.wav
2,4,harm,0,58,4,harm_4.wav
3,14,harm,0,58,14,harm_14.wav
4,11,inh,100,58,111,inh_11.wav
5,28,inh,100,58,128,inh_28.wav
6,8,harm,0,58,8,harm_8.wav
7,19,harm,0,58,19,harm_19.wav
8,20,harm,0,58,20,harm_20.wav
9,12,inh,100,58,112,inh_12.wav
10,15,harm,0,58,15,harm_15.wav
11,26,inh,100,58,126,inh_26.wav
12,10,harm,0,58,10,harm_10.wav
13,29,harm,0,58,29,harm_29.wav
14,9,harm,0,58,9,harm_9.wav
15,27,harm,0,58,27,harm_27.wav
16,2,inh,100,58,102,inh_2.wav
17,5,inh,100,58,105,inh_5.wav
18,22,inh,100,58,122,inh_22.wav
19,3,inh,100,58,103,inh_3.wav
20,13,harm,0,58,13,harm_13.wav
21,7,inh,100,58,107,inh_7.wav
22,1,inh,100,58,101,inh_1.wav
23,30,inh,100,58,130,inh_30.wav
24,23,harm,0,58,23,harm_23.wav
25,25,inh,100,58,125,inh_25.wav
26,16,inh,100,58,116,inh_16.wav
27,24,harm,0,58,24,harm_24.wav
28,18,inh,100,58,118,inh_18.wav
29,21,inh,100,58,121,inh_21.wav
