,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,6,inh,100,67,106,inh_6.wav
1,1,20,harm,0,67,20,harm_20.wav
2,2,1,harm,0,67,1,harm_1.wav
3,3,8,harm,0,67,8,harm_8.wav
4,4,30,inh,100,67,130,inh_30.wav
5,5,14,inh,100,67,114,inh_14.wav
6,6,9,harm,0,67,9,harm_9.wav
7,7,3,harm,0,67,3,harm_3.wav
8,8,18,inh,100,67,118,inh_18.wav
9,9,13,harm,0,67,13,harm_13.wav
10,10,21,harm,0,67,21,harm_21.wav
11,11,5,inh,100,67,105,inh_5.wav
12,12,11,inh,100,67,111,inh_11.wav
13,13,19,inh,100,67,119,inh_19.wav
14,14,16,inh,100,67,116,inh_16.wav
15,15,17,inh,100,67,117,inh_17.wav
16,16,25,harm,0,67,25,harm_25.wav
17,17,29,harm,0,67,29,harm_29.wav
18,18,7,harm,0,67,7,harm_7.wav
19,19,15,harm,0,67,15,harm_15.wav
20,20,12,inh,100,67,112,inh_12.wav
21,21,22,inh,100,67,122,inh_22.wav
22,22,23,harm,0,67,23,harm_23.wav
23,23,26,harm,0,67,26,harm_26.wav
24,24,4,harm,0,67,4,harm_4.wav
25,25,24,inh,100,67,124,inh_24.wav
26,26,27,inh,100,67,127,inh_27.wav
27,27,28,harm,0,67,28,harm_28.wav
28,28,10,inh,100,67,110,inh_10.wav
29,29,2,inh,100,67,102,inh_2.wav
