,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,20,inh,100,52,120,inh_20.wav
1,7,inh,100,52,107,inh_7.wav
2,19,harm,0,52,19,harm_19.wav
3,28,harm,0,52,28,harm_28.wav
4,10,harm,0,52,10,harm_10.wav
5,26,inh,100,52,126,inh_26.wav
6,13,harm,0,52,13,harm_13.wav
7,5,inh,100,52,105,inh_5.wav
8,14,harm,0,52,14,harm_14.wav
9,18,harm,0,52,18,harm_18.wav
10,27,inh,100,52,127,inh_27.wav
11,29,inh,100,52,129,inh_29.wav
12,23,harm,0,52,23,harm_23.wav
13,3,harm,0,52,3,harm_3.wav
14,30,harm,0,52,30,harm_30.wav
15,11,inh,100,52,111,inh_11.wav
16,9,inh,100,52,109,inh_9.wav
17,21,inh,100,52,121,inh_21.wav
18,17,inh,100,52,117,inh_17.wav
19,1,harm,0,52,1,harm_1.wav
20,15,harm,0,52,15,harm_15.wav
21,25,inh,100,52,125,inh_25.wav
22,2,harm,0,52,2,harm_2.wav
23,16,harm,0,52,16,harm_16.wav
24,6,inh,100,52,106,inh_6.wav
25,24,inh,100,52,124,inh_24.wav
26,12,inh,100,52,112,inh_12.wav
27,4,inh,100,52,104,inh_4.wav
28,22,harm,0,52,22,harm_22.wav
29,8,harm,0,52,8,harm_8.wav
