,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,7,harm,0,24,7,harm_7.wav
1,18,harm,0,24,18,harm_18.wav
2,5,harm,0,24,5,harm_5.wav
3,17,harm,0,24,17,harm_17.wav
4,30,inh,100,24,130,inh_30.wav
5,11,harm,0,24,11,harm_11.wav
6,22,inh,100,24,122,inh_22.wav
7,20,harm,0,24,20,harm_20.wav
8,25,inh,100,24,125,inh_25.wav
9,9,harm,0,24,9,harm_9.wav
10,27,harm,0,24,27,harm_27.wav
11,3,inh,100,24,103,inh_3.wav
12,16,inh,100,24,116,inh_16.wav
13,10,harm,0,24,10,harm_10.wav
14,15,inh,100,24,115,inh_15.wav
15,1,inh,100,24,101,inh_1.wav
16,21,inh,100,24,121,inh_21.wav
17,23,inh,100,24,123,inh_23.wav
18,29,inh,100,24,129,inh_29.wav
19,19,inh,100,24,119,inh_19.wav
20,8,harm,0,24,8,harm_8.wav
21,14,harm,0,24,14,harm_14.wav
22,6,harm,0,24,6,harm_6.wav
23,13,inh,100,24,113,inh_13.wav
24,12,inh,100,24,112,inh_12.wav
25,2,harm,0,24,2,harm_2.wav
26,24,inh,100,24,124,inh_24.wav
27,28,inh,100,24,128,inh_28.wav
28,26,harm,0,24,26,harm_26.wav
29,4,harm,0,24,4,harm_4.wav
