,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,20,harm,0,10,20,harm_20.wav
1,28,harm,0,10,28,harm_28.wav
2,1,harm,0,10,1,harm_1.wav
3,4,inh,100,10,104,inh_4.wav
4,2,inh,100,10,102,inh_2.wav
5,26,harm,0,10,26,harm_26.wav
6,11,harm,0,10,11,harm_11.wav
7,29,inh,100,10,129,inh_29.wav
8,27,inh,100,10,127,inh_27.wav
9,13,inh,100,10,113,inh_13.wav
10,12,inh,100,10,112,inh_12.wav
11,6,harm,0,10,6,harm_6.wav
12,23,inh,100,10,123,inh_23.wav
13,3,harm,0,10,3,harm_3.wav
14,18,harm,0,10,18,harm_18.wav
15,10,harm,0,10,10,harm_10.wav
16,14,inh,100,10,114,inh_14.wav
17,15,harm,0,10,15,harm_15.wav
18,30,harm,0,10,30,harm_30.wav
19,25,inh,100,10,125,inh_25.wav
20,17,inh,100,10,117,inh_17.wav
21,8,inh,100,10,108,inh_8.wav
22,24,inh,100,10,124,inh_24.wav
23,19,inh,100,10,119,inh_19.wav
24,5,harm,0,10,5,harm_5.wav
25,21,harm,0,10,21,harm_21.wav
26,22,harm,0,10,22,harm_22.wav
27,16,inh,100,10,116,inh_16.wav
28,9,harm,0,10,9,harm_9.wav
29,7,inh,100,10,107,inh_7.wav
