,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,3,harm,0,57,3,harm_3.wav
1,4,harm,0,57,4,harm_4.wav
2,26,inh,100,57,126,inh_26.wav
3,11,inh,100,57,111,inh_11.wav
4,16,harm,0,57,16,harm_16.wav
5,21,inh,100,57,121,inh_21.wav
6,17,harm,0,57,17,harm_17.wav
7,8,inh,100,57,108,inh_8.wav
8,5,inh,100,57,105,inh_5.wav
9,13,harm,0,57,13,harm_13.wav
10,29,harm,0,57,29,harm_29.wav
11,25,harm,0,57,25,harm_25.wav
12,14,harm,0,57,14,harm_14.wav
13,30,harm,0,57,30,harm_30.wav
14,18,harm,0,57,18,harm_18.wav
15,12,harm,0,57,12,harm_12.wav
16,9,inh,100,57,109,inh_9.wav
17,7,harm,0,57,7,harm_7.wav
18,27,harm,0,57,27,harm_27.wav
19,10,inh,100,57,110,inh_10.wav
20,20,inh,100,57,120,inh_20.wav
21,19,inh,100,57,119,inh_19.wav
22,28,inh,100,57,128,inh_28.wav
23,23,inh,100,57,123,inh_23.wav
24,1,inh,100,57,101,inh_1.wav
25,6,inh,100,57,106,inh_6.wav
26,24,harm,0,57,24,harm_24.wav
27,15,inh,100,57,115,inh_15.wav
28,22,harm,0,57,22,harm_22.wav
29,2,inh,100,57,102,inh_2.wav
