,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,22,inh,100,44,122,inh_22.wav
1,24,inh,100,44,124,inh_24.wav
2,6,inh,100,44,106,inh_6.wav
3,19,harm,0,44,19,harm_19.wav
4,25,inh,100,44,125,inh_25.wav
5,30,harm,0,44,30,harm_30.wav
6,29,harm,0,44,29,harm_29.wav
7,26,inh,100,44,126,inh_26.wav
8,18,inh,100,44,118,inh_18.wav
9,28,harm,0,44,28,harm_28.wav
10,14,harm,0,44,14,harm_14.wav
11,13,harm,0,44,13,harm_13.wav
12,15,harm,0,44,15,harm_15.wav
13,20,harm,0,44,20,harm_20.wav
14,10,harm,0,44,10,harm_10.wav
15,27,harm,0,44,27,harm_27.wav
16,23,inh,100,44,123,inh_23.wav
17,21,inh,100,44,121,inh_21.wav
18,2,inh,100,44,102,inh_2.wav
19,8,inh,100,44,108,inh_8.wav
20,4,inh,100,44,104,inh_4.wav
21,9,harm,0,44,9,harm_9.wav
22,17,inh,100,44,117,inh_17.wav
23,16,inh,100,44,116,inh_16.wav
24,3,harm,0,44,3,harm_3.wav
25,5,inh,100,44,105,inh_5.wav
26,7,harm,0,44,7,harm_7.wav
27,11,harm,0,44,11,harm_11.wav
28,1,inh,100,44,101,inh_1.wav
29,12,harm,0,44,12,harm_12.wav
