,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,26,harm,0,54,26,harm_26.wav
1,14,harm,0,54,14,harm_14.wav
2,22,inh,100,54,122,inh_22.wav
3,16,inh,100,54,116,inh_16.wav
4,23,inh,100,54,123,inh_23.wav
5,11,inh,100,54,111,inh_11.wav
6,3,harm,0,54,3,harm_3.wav
7,9,inh,100,54,109,inh_9.wav
8,2,inh,100,54,102,inh_2.wav
9,28,harm,0,54,28,harm_28.wav
10,19,inh,100,54,119,inh_19.wav
11,8,harm,0,54,8,harm_8.wav
12,21,harm,0,54,21,harm_21.wav
13,24,inh,100,54,124,inh_24.wav
14,12,inh,100,54,112,inh_12.wav
15,7,inh,100,54,107,inh_7.wav
16,25,inh,100,54,125,inh_25.wav
17,4,harm,0,54,4,harm_4.wav
18,20,inh,100,54,120,inh_20.wav
19,15,inh,100,54,115,inh_15.wav
20,10,harm,0,54,10,harm_10.wav
21,29,harm,0,54,29,harm_29.wav
22,1,harm,0,54,1,harm_1.wav
23,30,harm,0,54,30,harm_30.wav
24,6,inh,100,54,106,inh_6.wav
25,17,harm,0,54,17,harm_17.wav
26,18,harm,0,54,18,harm_18.wav
27,13,inh,100,54,113,inh_13.wav
28,5,harm,0,54,5,harm_5.wav
29,27,harm,0,54,27,harm_27.wav
