,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,23,harm,0,63,23,harm_23.wav
1,1,9,harm,0,63,9,harm_9.wav
2,2,3,harm,0,63,3,harm_3.wav
3,3,11,harm,0,63,11,harm_11.wav
4,4,17,harm,0,63,17,harm_17.wav
5,5,7,harm,0,63,7,harm_7.wav
6,6,19,inh,100,63,119,inh_19.wav
7,7,18,inh,100,63,118,inh_18.wav
8,8,8,harm,0,63,8,harm_8.wav
9,9,22,inh,100,63,122,inh_22.wav
10,10,2,harm,0,63,2,harm_2.wav
11,11,29,inh,100,63,129,inh_29.wav
12,12,24,inh,100,63,124,inh_24.wav
13,13,14,harm,0,63,14,harm_14.wav
14,14,5,inh,100,63,105,inh_5.wav
15,15,10,harm,0,63,10,harm_10.wav
16,16,15,harm,0,63,15,harm_15.wav
17,17,30,inh,100,63,130,inh_30.wav
18,18,4,inh,100,63,104,inh_4.wav
19,19,13,inh,100,63,113,inh_13.wav
20,20,6,inh,100,63,106,inh_6.wav
21,21,20,harm,0,63,20,harm_20.wav
22,22,12,inh,100,63,112,inh_12.wav
23,23,16,inh,100,63,116,inh_16.wav
24,24,28,harm,0,63,28,harm_28.wav
25,25,26,inh,100,63,126,inh_26.wav
26,26,1,harm,0,63,1,harm_1.wav
27,27,21,inh,100,63,121,inh_21.wav
28,28,25,inh,100,63,125,inh_25.wav
29,29,27,harm,0,63,27,harm_27.wav
