,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,16,inh,100,64,116,inh_16.wav
1,1,25,harm,0,64,25,harm_25.wav
2,2,2,harm,0,64,2,harm_2.wav
3,3,5,inh,100,64,105,inh_5.wav
4,4,11,inh,100,64,111,inh_11.wav
5,5,30,inh,100,64,130,inh_30.wav
6,6,4,harm,0,64,4,harm_4.wav
7,7,24,harm,0,64,24,harm_24.wav
8,8,12,harm,0,64,12,harm_12.wav
9,9,10,harm,0,64,10,harm_10.wav
10,10,23,inh,100,64,123,inh_23.wav
11,11,17,inh,100,64,117,inh_17.wav
12,12,9,inh,100,64,109,inh_9.wav
13,13,8,inh,100,64,108,inh_8.wav
14,14,6,inh,100,64,106,inh_6.wav
15,15,3,harm,0,64,3,harm_3.wav
16,16,21,harm,0,64,21,harm_21.wav
17,17,26,harm,0,64,26,harm_26.wav
18,18,14,inh,100,64,114,inh_14.wav
19,19,27,inh,100,64,127,inh_27.wav
20,20,19,inh,100,64,119,inh_19.wav
21,21,22,harm,0,64,22,harm_22.wav
22,22,20,inh,100,64,120,inh_20.wav
23,23,15,inh,100,64,115,inh_15.wav
24,24,18,harm,0,64,18,harm_18.wav
25,25,13,harm,0,64,13,harm_13.wav
26,26,28,harm,0,64,28,harm_28.wav
27,27,1,harm,0,64,1,harm_1.wav
28,28,29,harm,0,64,29,harm_29.wav
29,29,7,inh,100,64,107,inh_7.wav
