,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,13,harm,0,72,13,harm_13.wav
1,10,inh,100,72,110,inh_10.wav
2,16,inh,100,72,116,inh_16.wav
3,26,inh,100,72,126,inh_26.wav
4,25,inh,100,72,125,inh_25.wav
5,6,harm,0,72,6,harm_6.wav
6,3,inh,100,72,103,inh_3.wav
7,15,inh,100,72,115,inh_15.wav
8,24,harm,0,72,24,harm_24.wav
9,2,harm,0,72,2,harm_2.wav
10,21,harm,0,72,21,harm_21.wav
11,27,inh,100,72,127,inh_27.wav
12,29,harm,0,72,29,harm_29.wav
13,19,inh,100,72,119,inh_19.wav
14,9,harm,0,72,9,harm_9.wav
15,28,harm,0,72,28,harm_28.wav
16,17,harm,0,72,17,harm_17.wav
17,30,harm,0,72,30,harm_30.wav
18,18,harm,0,72,18,harm_18.wav
19,23,harm,0,72,23,harm_23.wav
20,22,inh,100,72,122,inh_22.wav
21,11,inh,100,72,111,inh_11.wav
22,4,inh,100,72,104,inh_4.wav
23,20,harm,0,72,20,harm_20.wav
24,12,inh,100,72,112,inh_12.wav
25,7,harm,0,72,7,harm_7.wav
26,14,inh,100,72,114,inh_14.wav
27,5,harm,0,72,5,harm_5.wav
28,8,inh,100,72,108,inh_8.wav
29,1,inh,100,72,101,inh_1.wav
