,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,5,harm,0,22,5,harm_5.wav
1,16,harm,0,22,16,harm_16.wav
2,24,inh,100,22,124,inh_24.wav
3,22,harm,0,22,22,harm_22.wav
4,11,inh,100,22,111,inh_11.wav
5,10,harm,0,22,10,harm_10.wav
6,6,harm,0,22,6,harm_6.wav
7,21,harm,0,22,21,harm_21.wav
8,20,harm,0,22,20,harm_20.wav
9,4,inh,100,22,104,inh_4.wav
10,19,harm,0,22,19,harm_19.wav
11,2,harm,0,22,2,harm_2.wav
12,12,inh,100,22,112,inh_12.wav
13,14,inh,100,22,114,inh_14.wav
14,28,inh,100,22,128,inh_28.wav
15,26,inh,100,22,126,inh_26.wav
16,29,harm,0,22,29,harm_29.wav
17,13,inh,100,22,113,inh_13.wav
18,23,harm,0,22,23,harm_23.wav
19,1,inh,100,22,101,inh_1.wav
20,30,inh,100,22,130,inh_30.wav
21,15,harm,0,22,15,harm_15.wav
22,3,inh,100,22,103,inh_3.wav
23,18,inh,100,22,118,inh_18.wav
24,9,inh,100,22,109,inh_9.wav
25,17,inh,100,22,117,inh_17.wav
26,8,harm,0,22,8,harm_8.wav
27,27,inh,100,22,127,inh_27.wav
28,25,harm,0,22,25,harm_25.wav
29,7,harm,0,22,7,harm_7.wav
