,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,1,inh,100,29,101,inh_1.wav
1,5,harm,0,29,5,harm_5.wav
2,13,inh,100,29,113,inh_13.wav
3,19,harm,0,29,19,harm_19.wav
4,17,harm,0,29,17,harm_17.wav
5,10,inh,100,29,110,inh_10.wav
6,22,inh,100,29,122,inh_22.wav
7,2,inh,100,29,102,inh_2.wav
8,30,harm,0,29,30,harm_30.wav
9,3,harm,0,29,3,harm_3.wav
10,26,inh,100,29,126,inh_26.wav
11,8,harm,0,29,8,harm_8.wav
12,16,harm,0,29,16,harm_16.wav
13,12,harm,0,29,12,harm_12.wav
14,25,inh,100,29,125,inh_25.wav
15,24,harm,0,29,24,harm_24.wav
16,14,inh,100,29,114,inh_14.wav
17,11,inh,100,29,111,inh_11.wav
18,6,inh,100,29,106,inh_6.wav
19,29,inh,100,29,129,inh_29.wav
20,23,inh,100,29,123,inh_23.wav
21,18,inh,100,29,118,inh_18.wav
22,7,harm,0,29,7,harm_7.wav
23,28,harm,0,29,28,harm_28.wav
24,21,harm,0,29,21,harm_21.wav
25,27,inh,100,29,127,inh_27.wav
26,15,harm,0,29,15,harm_15.wav
27,4,harm,0,29,4,harm_4.wav
28,20,harm,0,29,20,harm_20.wav
29,9,inh,100,29,109,inh_9.wav
