,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,3,inh,100,35,103,inh_3.wav
1,30,harm,0,35,30,harm_30.wav
2,25,inh,100,35,125,inh_25.wav
3,12,inh,100,35,112,inh_12.wav
4,9,harm,0,35,9,harm_9.wav
5,8,harm,0,35,8,harm_8.wav
6,11,harm,0,35,11,harm_11.wav
7,22,inh,100,35,122,inh_22.wav
8,4,harm,0,35,4,harm_4.wav
9,27,inh,100,35,127,inh_27.wav
10,5,inh,100,35,105,inh_5.wav
11,7,inh,100,35,107,inh_7.wav
12,29,inh,100,35,129,inh_29.wav
13,6,harm,0,35,6,harm_6.wav
14,21,harm,0,35,21,harm_21.wav
15,14,harm,0,35,14,harm_14.wav
16,26,harm,0,35,26,harm_26.wav
17,10,inh,100,35,110,inh_10.wav
18,20,harm,0,35,20,harm_20.wav
19,24,inh,100,35,124,inh_24.wav
20,15,inh,100,35,115,inh_15.wav
21,23,inh,100,35,123,inh_23.wav
22,18,inh,100,35,118,inh_18.wav
23,2,harm,0,35,2,harm_2.wav
24,28,harm,0,35,28,harm_28.wav
25,16,harm,0,35,16,harm_16.wav
26,19,inh,100,35,119,inh_19.wav
27,17,harm,0,35,17,harm_17.wav
28,1,harm,0,35,1,harm_1.wav
29,13,inh,100,35,113,inh_13.wav
