,Unnamed: 0,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,0,28,inh,100,69,128,inh_28.wav
1,1,23,inh,100,69,123,inh_23.wav
2,2,25,inh,100,69,125,inh_25.wav
3,3,27,harm,0,69,27,harm_27.wav
4,4,1,harm,0,69,1,harm_1.wav
5,5,17,inh,100,69,117,inh_17.wav
6,6,10,inh,100,69,110,inh_10.wav
7,7,24,harm,0,69,24,harm_24.wav
8,8,4,inh,100,69,104,inh_4.wav
9,9,22,harm,0,69,22,harm_22.wav
10,10,20,inh,100,69,120,inh_20.wav
11,11,15,inh,100,69,115,inh_15.wav
12,12,9,harm,0,69,9,harm_9.wav
13,13,5,harm,0,69,5,harm_5.wav
14,14,29,harm,0,69,29,harm_29.wav
15,15,2,inh,100,69,102,inh_2.wav
16,16,11,harm,0,69,11,harm_11.wav
17,17,19,harm,0,69,19,harm_19.wav
18,18,3,inh,100,69,103,inh_3.wav
19,19,7,inh,100,69,107,inh_7.wav
20,20,21,inh,100,69,121,inh_21.wav
21,21,30,harm,0,69,30,harm_30.wav
22,22,18,harm,0,69,18,harm_18.wav
23,23,14,inh,100,69,114,inh_14.wav
24,24,6,harm,0,69,6,harm_6.wav
25,25,12,inh,100,69,112,inh_12.wav
26,26,8,harm,0,69,8,harm_8.wav
27,27,16,inh,100,69,116,inh_16.wav
28,28,13,harm,0,69,13,harm_13.wav
29,29,26,harm,0,69,26,harm_26.wav
