,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,28,harm,0,8,28,harm_28.wav
1,11,inh,100,8,111,inh_11.wav
2,30,inh,100,8,130,inh_30.wav
3,19,harm,0,8,19,harm_19.wav
4,4,inh,100,8,104,inh_4.wav
5,14,harm,0,8,14,harm_14.wav
6,18,harm,0,8,18,harm_18.wav
7,26,inh,100,8,126,inh_26.wav
8,1,inh,100,8,101,inh_1.wav
9,7,harm,0,8,7,harm_7.wav
10,10,inh,100,8,110,inh_10.wav
11,6,harm,0,8,6,harm_6.wav
12,17,harm,0,8,17,harm_17.wav
13,8,inh,100,8,108,inh_8.wav
14,16,inh,100,8,116,inh_16.wav
15,2,inh,100,8,102,inh_2.wav
16,20,harm,0,8,20,harm_20.wav
17,27,harm,0,8,27,harm_27.wav
18,23,harm,0,8,23,harm_23.wav
19,25,inh,100,8,125,inh_25.wav
20,22,inh,100,8,122,inh_22.wav
21,13,inh,100,8,113,inh_13.wav
22,5,inh,100,8,105,inh_5.wav
23,9,harm,0,8,9,harm_9.wav
24,21,harm,0,8,21,harm_21.wav
25,29,inh,100,8,129,inh_29.wav
26,12,harm,0,8,12,harm_12.wav
27,3,harm,0,8,3,harm_3.wav
28,24,harm,0,8,24,harm_24.wav
29,15,inh,100,8,115,inh_15.wav
