,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,18,inh,100,6,118,inh_18.wav
1,10,inh,100,6,110,inh_10.wav
2,12,harm,0,6,12,harm_12.wav
3,6,inh,100,6,106,inh_6.wav
4,9,inh,100,6,109,inh_9.wav
5,21,harm,0,6,21,harm_21.wav
6,27,inh,100,6,127,inh_27.wav
7,19,harm,0,6,19,harm_19.wav
8,14,inh,100,6,114,inh_14.wav
9,7,inh,100,6,107,inh_7.wav
10,8,harm,0,6,8,harm_8.wav
11,22,inh,100,6,122,inh_22.wav
12,23,inh,100,6,123,inh_23.wav
13,11,inh,100,6,111,inh_11.wav
14,30,inh,100,6,130,inh_30.wav
15,2,harm,0,6,2,harm_2.wav
16,16,harm,0,6,16,harm_16.wav
17,13,harm,0,6,13,harm_13.wav
18,28,inh,100,6,128,inh_28.wav
19,4,harm,0,6,4,harm_4.wav
20,26,harm,0,6,26,harm_26.wav
21,3,harm,0,6,3,harm_3.wav
22,29,harm,0,6,29,harm_29.wav
23,20,harm,0,6,20,harm_20.wav
24,5,inh,100,6,105,inh_5.wav
25,1,inh,100,6,101,inh_1.wav
26,17,inh,100,6,117,inh_17.wav
27,24,harm,0,6,24,harm_24.wav
28,15,harm,0,6,15,harm_15.wav
29,25,harm,0,6,25,harm_25.wav
