,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,1,inh,100,17,101,inh_1.wav
1,28,inh,100,17,128,inh_28.wav
2,21,harm,0,17,21,harm_21.wav
3,15,inh,100,17,115,inh_15.wav
4,7,harm,0,17,7,harm_7.wav
5,26,inh,100,17,126,inh_26.wav
6,5,inh,100,17,105,inh_5.wav
7,9,inh,100,17,109,inh_9.wav
8,20,harm,0,17,20,harm_20.wav
9,10,inh,100,17,110,inh_10.wav
10,22,harm,0,17,22,harm_22.wav
11,2,harm,0,17,2,harm_2.wav
12,29,inh,100,17,129,inh_29.wav
13,11,harm,0,17,11,harm_11.wav
14,25,inh,100,17,125,inh_25.wav
15,6,harm,0,17,6,harm_6.wav
16,3,harm,0,17,3,harm_3.wav
17,23,harm,0,17,23,harm_23.wav
18,24,harm,0,17,24,harm_24.wav
19,30,harm,0,17,30,harm_30.wav
20,17,harm,0,17,17,harm_17.wav
21,18,harm,0,17,18,harm_18.wav
22,14,inh,100,17,114,inh_14.wav
23,16,harm,0,17,16,harm_16.wav
24,12,inh,100,17,112,inh_12.wav
25,27,inh,100,17,127,inh_27.wav
26,8,inh,100,17,108,inh_8.wav
27,13,inh,100,17,113,inh_13.wav
28,19,inh,100,17,119,inh_19.wav
29,4,harm,0,17,4,harm_4.wav
