,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,3,harm,0,18,3,harm_3.wav
1,22,harm,0,18,22,harm_22.wav
2,19,harm,0,18,19,harm_19.wav
3,18,harm,0,18,18,harm_18.wav
4,7,inh,100,18,107,inh_7.wav
5,4,harm,0,18,4,harm_4.wav
6,12,inh,100,18,112,inh_12.wav
7,6,harm,0,18,6,harm_6.wav
8,10,harm,0,18,10,harm_10.wav
9,29,inh,100,18,129,inh_29.wav
10,24,harm,0,18,24,harm_24.wav
11,28,harm,0,18,28,harm_28.wav
12,9,inh,100,18,109,inh_9.wav
13,11,harm,0,18,11,harm_11.wav
14,17,harm,0,18,17,harm_17.wav
15,27,harm,0,18,27,harm_27.wav
16,30,inh,100,18,130,inh_30.wav
17,23,inh,100,18,123,inh_23.wav
18,5,inh,100,18,105,inh_5.wav
19,13,inh,100,18,113,inh_13.wav
20,15,inh,100,18,115,inh_15.wav
21,25,inh,100,18,125,inh_25.wav
22,20,inh,100,18,120,inh_20.wav
23,16,harm,0,18,16,harm_16.wav
24,2,inh,100,18,102,inh_2.wav
25,26,inh,100,18,126,inh_26.wav
26,21,harm,0,18,21,harm_21.wav
27,8,inh,100,18,108,inh_8.wav
28,1,inh,100,18,101,inh_1.wav
29,14,harm,0,18,14,harm_14.wav
