,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,11,harm,0,79,11,harm_11.wav
1,9,inh,100,79,109,inh_9.wav
2,17,harm,0,79,17,harm_17.wav
3,5,inh,100,79,105,inh_5.wav
4,10,harm,0,79,10,harm_10.wav
5,6,inh,100,79,106,inh_6.wav
6,26,harm,0,79,26,harm_26.wav
7,14,inh,100,79,114,inh_14.wav
8,19,harm,0,79,19,harm_19.wav
9,16,harm,0,79,16,harm_16.wav
10,15,inh,100,79,115,inh_15.wav
11,7,harm,0,79,7,harm_7.wav
12,4,harm,0,79,4,harm_4.wav
13,21,harm,0,79,21,harm_21.wav
14,2,harm,0,79,2,harm_2.wav
15,29,inh,100,79,129,inh_29.wav
16,22,harm,0,79,22,harm_22.wav
17,20,inh,100,79,120,inh_20.wav
18,1,harm,0,79,1,harm_1.wav
19,30,harm,0,79,30,harm_30.wav
20,24,inh,100,79,124,inh_24.wav
21,23,harm,0,79,23,harm_23.wav
22,3,inh,100,79,103,inh_3.wav
23,8,inh,100,79,108,inh_8.wav
24,28,inh,100,79,128,inh_28.wav
25,18,inh,100,79,118,inh_18.wav
26,12,inh,100,79,112,inh_12.wav
27,27,harm,0,79,27,harm_27.wav
28,25,inh,100,79,125,inh_25.wav
29,13,inh,100,79,113,inh_13.wav
