,sid,harmonicity,harmonicity_trigs,pid,trig,filename
0,10,harm,0,46,10,harm_10.wav
1,24,inh,100,46,124,inh_24.wav
2,25,inh,100,46,125,inh_25.wav
3,5,inh,100,46,105,inh_5.wav
4,28,inh,100,46,128,inh_28.wav
5,19,inh,100,46,119,inh_19.wav
6,8,inh,100,46,108,inh_8.wav
7,16,harm,0,46,16,harm_16.wav
8,21,harm,0,46,21,harm_21.wav
9,27,inh,100,46,127,inh_27.wav
10,9,inh,100,46,109,inh_9.wav
11,20,inh,100,46,120,inh_20.wav
12,18,inh,100,46,118,inh_18.wav
13,17,inh,100,46,117,inh_17.wav
14,23,inh,100,46,123,inh_23.wav
15,22,harm,0,46,22,harm_22.wav
16,30,harm,0,46,30,harm_30.wav
17,4,harm,0,46,4,harm_4.wav
18,1,harm,0,46,1,harm_1.wav
19,26,harm,0,46,26,harm_26.wav
20,11,inh,100,46,111,inh_11.wav
21,12,harm,0,46,12,harm_12.wav
22,15,inh,100,46,115,inh_15.wav
23,3,harm,0,46,3,harm_3.wav
24,6,harm,0,46,6,harm_6.wav
25,7,harm,0,46,7,harm_7.wav
26,2,harm,0,46,2,harm_2.wav
27,29,harm,0,46,29,harm_29.wav
28,14,harm,0,46,14,harm_14.wav
29,13,inh,100,46,113,inh_13.wav
